Razao Social;Fundo;Segmento;Codigo
JPP CAPITAL RECEBIVEIS IMOB. FDO. INVEST. IMOB.;FII JPPMOGNO;;JPPA;
JS ATIVOS FINANCEIROS FDO DE INV IMOBILI�RIO;FII JS A FIN;;JSAF;
JS REAL ESTATE MULTIGEST�O - FII;FII JS REAL;;JSRE;
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL;FII JT PREV;;JTPR;
KILIMA FIC FDO. IMOB. SUNO 30;FII KILIMA;;KISU;
KILIMA VOLKANO RECEB�VEIS IMOB FDO DE INV IMOB;FII KIVO;;KIVO;
KINEA CREDITAS FDO DE INV IMOBILI�RIO - FII;FII KINEA CR;;KCRE;
KINEA HIGH YIELD CRI FDO INV IMOB - FII;FII KINEA HY;;KNHY;
KINEA II REAL ESTATE EQUITY FDO INV IMOB;FII KII REAL;;KNRE;
KINEA �NDICES DE PRE�OS FDO INV IMOB - FII;FII KINEA IP;;KNIP;
KINEA PREMIUM PROPERTIES FDO INV IMOB;FII KINEA PR;;KNPR;
KINEA RENDA IMOBILI�RIA FDO INV IMOB - FII;FII KINEA;;KNRI;
KINEA RENDIMENTOS IMOBILI�RIOS FDO INV IMOB - FII;FII KINEA RI;;KNCR;
KINEA SECURITIES FDO. DE INV. IMOB. - FII;FII KINEA SC;;KNSC;
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILI�RIO;FII LAGO PDR;;LPLP;
LATERES FDO INV IMOB - FII;FII LATERES;MB;LATR;
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII;FII LEGATUS;;LASC;
LESTE RIVA EQUITY PREFERENCIAL I FDO. INV. IMOB.;FII LESTE PA;;LSPA;
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTO IMOB;FII LIFE;;LIFE;
LOFT I - FDO INV IMOB;FII LOFT I;MB;LOFT;
LOFT II FUNDO DE INVESTIMENTO IMOBILI�RIO;FII LOFT II;;LFTT;
LOGCP INTER FDO INV IMOB;FII LGCP INT;;LGCP;
LUGGO FDO. INV. IMOB.;FII LUGGO;;LUGG;
MALLS BRASIL PLURAL FDO INV IMOB;FII MALLS BP;;MALL;
MANAT� CAPITAL HEDGE FUND FDO INV IMOB;FII MANATI;;MANA;
MARESIAS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII MMVE OP;;MMVE;
MAU� CAPITAL HEDGE FUND - FDO. INVEST. IMOB.;FII MAUA HF;;MCHF;
MAXI RENDA FDO INV IMOB - FII;FII MAXI REN;;MXRF;
